time,angle,angular_velocity,torque
0,3.141592653587852,-9.980432468964857e-13,-2.999999999212657
0.03750000000000001,3.087300092607025,-2.841773434436933,-2.999999998078476
0.07500000000000001,2.932781846132595,-5.339000825017706,-2.999999994373322
0.1125,2.691561562286804,-7.462935854921911,-2.999999974451247
0.15,2.377780521188321,-9.211579122524201,-2.999999099674735
0.1875,2.004927031074411,-10.6240697929228,-1.973259830417716
0.225,1.60269774696768,-10.81375132959018,-0.7618548084009705
0.2625,1.216200054922985,-9.823646191969237,0.0188944743518729
0.3,0.8778178264689948,-8.270158607810206,0.4688517214310482
0.3375,0.600555412157584,-6.570796685695171,0.6836347767492945
0.375,0.3851337361607048,-4.968549656928063,0.7430367588307247
0.4125,0.2255945695126641,-3.582176750068064,0.7080004217433802
0.4500000000000001,0.1130515850800456,-2.452716712430781,0.6222257466962603
0.4875,0.03794753985148575,-1.576748558193093,0.5153623190642185
0.525,-0.008699655564641787,-0.9277341183151664,0.4063062448855786
0.5625,-0.03468690182030971,-0.4691461938916232,0.3060832649507925
0.6000000000000001,-0.04640386566878126,-0.1623482351853019,0.220203260161477
0.6375000000000001,-0.04884047137045396,0.02888702531204665,0.1505050368664846
0.675,-0.04572130745519995,0.1360533785314402,0.09654904132979081
0.7125,-0.03969970705664177,0.185017388281972,0.05662690220716412
0.75,-0.03256820305839729,0.1960219914382973,0.02845900140720565
0.7875000000000001,-0.02545902933794499,0.1842068635302029,0.009648379787751182
0.8250000000000001,-0.01902039443092464,0.1603791620640961,-0.002047527948703602
0.8625,-0.01356252863197923,0.131857348803919,-0.008575082652297703
0.9000000000000001,-0.009172846589769107,0.1032788933084356,-0.01153042805954316
0.9375,-0.005802709072736742,0.07731234336204722,-0.0121609072602214
0.9750000000000001,-0.003329843411591942,0.05524846929496025,-0.011398174519559
1.0125,-0.001601009483594635,0.03746720475098633,-0.009906438714190682
1.05,-0.000459374758221061,0.02379002950543621,-0.008134927498660708
1.0875,0.0002394228166017499,0.01373394799623715,-0.006367915330962343
1.125,0.0006191921874207215,0.006685451196646869,-0.004768714735520258
1.1625,0.000780434915873843,0.00201243111198313,-0.003416115977751255
1.2,0.00080090352345634,-0.0008698808558540956,-0.002333095982400237
1.2375,0.0007380091399082373,-0.002465450058930264,-0.00150839862875216
1.275,0.0006320686230959616,-0.003185663319858037,-0.0009119792484279626
1.3125,0.0005097364238763224,-0.003351002706311757,-0.0005054366811832186
1.35,0.0003872326667932213,-0.003200140780119796,-0.0002485261206522902
1.3875,0.0002731699278901613,-0.002902243726652052,-0.0001027280320506761
1.425,0.0001709118705804103,-0.002569686500667718,-3.269375360504038e-05
1.4625,8.048131560343238e-05,-0.002269445512627664,-6.231306348641809e-06
1.5,8.56714292957243e-08,-0.002032198952078935,-6.231306348641809e-06
